Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate,Fetched From
28,homebuddy.com,Pets and Animals > Pet Food and Supplies,28,00:00:55,1.67,56.02%,Pets and Animals
29,airnavradar.com,Pets and Animals > Pet Food and Supplies,12,00:04:39,6.66,35.82%,Pets and Animals
30,petsuppliesplus.com,Pets and Animals > Pet Food and Supplies,10,00:03:35,4.54,40.88%,Pets and Animals
31,zooplus.de,Pets and Animals > Pet Food and Supplies,1,00:04:08,5.53,48.95%,Pets and Animals
32,zooplus.pl,Pets and Animals > Pet Food and Supplies,1,00:03:19,6.04,24.56%,Pets and Animals
33,vetconnectplus.com,Pets and Animals > Pet Food and Supplies,1,00:04:17,3.96,29.41%,Pets and Animals
34,hillspet.com,Pets and Animals > Pet Food and Supplies,=,00:01:20,1.9,63.64%,Pets and Animals
35,covetrus.com,Pets and Animals > Pet Food and Supplies,1,00:07:45,4.44,24.26%,Pets and Animals
36,vin.com,Pets and Animals > Pet Food and Supplies,2,00:03:49,5.19,40.55%,Pets and Animals
37,zooplus.fr,Pets and Animals > Pet Food and Supplies,2,00:04:02,5.98,45.36%,Pets and Animals
38,search-great.com,Pets and Animals > Pet Food and Supplies,1,00:04:42,1.62,69.39%,Pets and Animals
39,brightmindshq.com,Pets and Animals > Pet Food and Supplies,32,00:06:50,10.76,27.44%,Pets and Animals
40,bark.co,Pets and Animals > Pet Food and Supplies,7,00:01:29,3.22,42.7%,Pets and Animals
41,solitairetripeaks.com,Pets and Animals > Pet Food and Supplies,2,00:01:03,2.56,61.29%,Pets and Animals
42,petdesk.com,Pets and Animals > Pet Food and Supplies,7,00:02:42,2.23,53.13%,Pets and Animals
43,hostlereshook.top,Pets and Animals > Pet Food and Supplies,23,00:01:52,1.51,74.96%,Pets and Animals
44,thefarmersdog.com,Pets and Animals > Pet Food and Supplies,2,00:02:30,4.56,45.3%,Pets and Animals
45,vetmanager2.ru,Pets and Animals > Pet Food and Supplies,1,00:21:13,3.13,27.71%,Pets and Animals
46,expertoanimal.com,Pets and Animals > Pet Food and Supplies,1,00:02:12,1.84,63.69%,Pets and Animals
47,petsmart.ca,Pets and Animals > Pet Food and Supplies,8,00:03:53,5.24,36.45%,Pets and Animals
48,wuffes.com,Pets and Animals > Pet Food and Supplies,13,00:01:40,1.64,67.54%,Pets and Animals
49,rspca.org.uk,Pets and Animals > Pet Food and Supplies,4,00:02:32,4.24,45.97%,Pets and Animals
50,petcircle.com.au,Pets and Animals > Pet Food and Supplies,=,00:03:13,4.24,46.17%,Pets and Animals
1,grampermilwell.top,Pets and Animals > Pets and Animals - Other,2,00:04:57,3.29,59.93%,Pets and Animals
2,potassaseafolk.shop,Pets and Animals > Pets and Animals - Other,1,00:01:36,1.88,37.32%,Pets and Animals
3,stowthfeelers.shop,Pets and Animals > Pets and Animals - Other,1,00:03:08,1.8,65.13%,Pets and Animals
4,ibomma.day,Pets and Animals > Pets and Animals - Other,1,00:04:50,3.97,28.14%,Pets and Animals
5,toscytheran.com,Pets and Animals > Pets and Animals - Other,2,00:00:37,1.42,51.28%,Pets and Animals
6,bappam.pw,Pets and Animals > Pets and Animals - Other,2,00:03:40,3.02,44.2%,Pets and Animals
7,emp3juice.la,Pets and Animals > Pets and Animals - Other,2,00:03:08,2.83,64.19%,Pets and Animals
8,bvox.com,Pets and Animals > Pets and Animals - Other,10,00:07:41,9.54,41%,Pets and Animals
9,sweetastes.com,Pets and Animals > Pets and Animals - Other,11,00:07:00,4.18,60.39%,Pets and Animals
10,clickfilter.co,Pets and Animals > Pets and Animals - Other,1,00:01:37,1.69,70.29%,Pets and Animals
11,timesla.com,Pets and Animals > Pets and Animals - Other,3,00:05:53,5.81,12.66%,Pets and Animals
12,bappam.market,Pets and Animals > Pets and Animals - Other,2,00:01:16,1.4,68.28%,Pets and Animals
13,historyfacts.com,Pets and Animals > Pets and Animals - Other,4,00:02:12,2.26,36.75%,Pets and Animals
14,healthwellnessjournal.com,Pets and Animals > Pets and Animals - Other,7,00:01:30,1.88,47.27%,Pets and Animals
15,bappam.org,Pets and Animals > Pets and Animals - Other,=,00:00:52,1.34,74.77%,Pets and Animals
16,ariat.com,Pets and Animals > Pets and Animals - Other,=,00:03:19,5.66,42.09%,Pets and Animals
17,vcdnlare.com,Pets and Animals > Pets and Animals - Other,3,00:03:44,2.24,58.15%,Pets and Animals
18,tyla.com,Pets and Animals > Pets and Animals - Other,11,00:00:48,1.56,61.4%,Pets and Animals
19,thesprucepets.com,Pets and Animals > Pets and Animals - Other,4,00:01:01,1.58,69.82%,Pets and Animals
20,mp3juices.click,Pets and Animals > Pets and Animals - Other,1,00:02:45,6.37,38.91%,Pets and Animals
21,trendingpoliticsnews.com,Pets and Animals > Pets and Animals - Other,11,00:02:10,2.1,47.98%,Pets and Animals
22,buysplashspray.com,Pets and Animals > Pets and Animals - Other,34,00:01:35,2.15,62.38%,Pets and Animals
23,yoga-go.io,Pets and Animals > Pets and Animals - Other,10,00:01:02,1.99,43.84%,Pets and Animals
24,securitytipsonline.com,Pets and Animals > Pets and Animals - Other,4,00:00:37,1.2,81.84%,Pets and Animals
25,rewardzinga1.com,Pets and Animals > Pets and Animals - Other,3,00:02:34,2.87,19.89%,Pets and Animals
26,ibomma.wf,Pets and Animals > Pets and Animals - Other,1,00:03:28,3.06,46.22%,Pets and Animals
27,asregisteelchan.com,Pets and Animals > Pets and Animals - Other,14,00:00:51,1.99,31.56%,Pets and Animals
28,spilleddaily.com,Pets and Animals > Pets and Animals - Other,34,00:04:59,6.04,24.5%,Pets and Animals
29,teknoasian.com,Pets and Animals > Pets and Animals - Other,18,00:06:23,10.47,4.82%,Pets and Animals
30,gobdmbet.com,Pets and Animals > Pets and Animals - Other,15,00:02:08,1.38,75.3%,Pets and Animals
31,elkanadi.com,Pets and Animals > Pets and Animals - Other,=,00:00:33,4.15,86.58%,Pets and Animals
32,chomered.com,Pets and Animals > Pets and Animals - Other,31,00:23:55,14.64,24.36%,Pets and Animals
33,medilisk.com,Pets and Animals > Pets and Animals - Other,13,00:01:54,1.86,65.4%,Pets and Animals
34,bada.us,Pets and Animals > Pets and Animals - Other,1,00:08:42,8.46,39.9%,Pets and Animals
35,kids.getepic.com,Pets and Animals > Pets and Animals - Other,9,00:01:52,3.53,22.28%,Pets and Animals
36,nrzr.li,Pets and Animals > Pets and Animals - Other,12,00:06:37,2.66,50.13%,Pets and Animals
37,repeatthis.com,Pets and Animals > Pets and Animals - Other,3,00:00:49,1.32,77.88%,Pets and Animals
38,yourbill.me,Pets and Animals > Pets and Animals - Other,=,00:00:15,1.62,5.27%,Pets and Animals
39,walletjump.com,Pets and Animals > Pets and Animals - Other,12,00:01:50,1.59,72.07%,Pets and Animals
40,ibomma.bond,Pets and Animals > Pets and Animals - Other,=,00:04:55,3.39,38.52%,Pets and Animals
41,wordstrivia.com,Pets and Animals > Pets and Animals - Other,4,00:01:58,3.52,14.77%,Pets and Animals
42,sporked.com,Pets and Animals > Pets and Animals - Other,=,00:01:12,1.6,69.28%,Pets and Animals
43,bappam.to,Pets and Animals > Pets and Animals - Other,13,00:02:06,2.36,52.23%,Pets and Animals
44,theustrivia.com,Pets and Animals > Pets and Animals - Other,5,00:06:07,21.29,21.86%,Pets and Animals
45,news.moovitapp.com,Pets and Animals > Pets and Animals - Other,3,00:01:31,1.45,40.02%,Pets and Animals
46,shop.playtika.com,Pets and Animals > Pets and Animals - Other,6,00:01:16,2.06,51.29%,Pets and Animals
47,jettagehazes.top,Pets and Animals > Pets and Animals - Other,10,00:00:34,1.26,84.68%,Pets and Animals
48,ovarit.com,Pets and Animals > Pets and Animals - Other,3,00:11:53,8.28,15.64%,Pets and Animals
49,statikco.com,Pets and Animals > Pets and Animals - Other,6,00:02:02,1.82,66.76%,Pets and Animals
50,mymuddymat.cc,Pets and Animals > Pets and Animals - Other,6,00:01:53,2.14,57.59%,Pets and Animals
1,zinchangmanga.net,Pets and Animals > Pets,=,00:07:26,5.28,33.2%,Pets and Animals
2,petfinder.com,Pets and Animals > Pets,2,00:05:10,9.27,39.37%,Pets and Animals
3,oversolosisor.com,Pets and Animals > Pets,1,00:01:04,1.96,26.69%,Pets and Animals
4,mania.kr,Pets and Animals > Pets,3,00:05:59,9.45,28.47%,Pets and Animals
5,hint-pot.jp,Pets and Animals > Pets,=,00:01:02,1.8,71.46%,Pets and Animals
6,pobretv.net,Pets and Animals > Pets,3,00:02:36,3.05,41.68%,Pets and Animals
7,cornucopia.se,Pets and Animals > Pets,5,00:06:30,2.95,27.85%,Pets and Animals
8,akc.org,Pets and Animals > Pets,2,00:02:12,2.85,60.28%,Pets and Animals
9,pets4homes.co.uk,Pets and Animals > Pets,1,00:06:14,6.69,42.22%,Pets and Animals
10,paradepets.com,Pets and Animals > Pets,7,00:01:31,1.61,62.27%,Pets and Animals
11,eureka.tokyo,Pets and Animals > Pets,3,00:01:17,1.47,67.76%,Pets and Animals
12,nap-camp.com,Pets and Animals > Pets,1,00:03:38,3.22,43.7%,Pets and Animals
13,adoptapet.com,Pets and Animals > Pets,3,00:03:43,4.68,45%,Pets and Animals
14,wanchan.jp,Pets and Animals > Pets,3,00:01:07,1.91,52.26%,Pets and Animals
15,nekochan.jp,Pets and Animals > Pets,=,00:00:57,1.76,39.48%,Pets and Animals
16,min-breeder.com,Pets and Animals > Pets,=,00:04:09,5.36,47.84%,Pets and Animals
17,gooddog.com,Pets and Animals > Pets,2,00:02:58,5.46,32.18%,Pets and Animals
18,ardsmamoswineon.com,Pets and Animals > Pets,15,00:02:50,2.3,29.82%,Pets and Animals
19,logoform.jp,Pets and Animals > Pets,3,00:03:22,2.13,62.65%,Pets and Animals
20,woopets.fr,Pets and Animals > Pets,2,00:00:57,1.82,30.73%,Pets and Animals
21,4lapy.ru,Pets and Animals > Pets,2,00:02:02,4.49,37.84%,Pets and Animals
22,lovemeow.com,Pets and Animals > Pets,5,00:00:44,1.63,46.3%,Pets and Animals
23,deine-tierwelt.de,Pets and Animals > Pets,1,00:04:33,5.1,42.73%,Pets and Animals
24,wamiz.com,Pets and Animals > Pets,1,00:01:15,1.65,64.72%,Pets and Animals
25,freekibble.com,Pets and Animals > Pets,1,00:01:48,5.43,12.98%,Pets and Animals
26,okuyami-information.com,Pets and Animals > Pets,9,00:01:41,3.15,23.35%,Pets and Animals
27,lancasterpuppies.com,Pets and Animals > Pets,6,00:05:17,6.14,34.15%,Pets and Animals
28,swiatgwiazd.pl,Pets and Animals > Pets,8,00:00:57,1.18,85.63%,Pets and Animals
29,petenkoiratarvike.com,Pets and Animals > Pets,11,00:01:30,3.32,36.09%,Pets and Animals
30,rekisiru.com,Pets and Animals > Pets,1,00:02:37,4.44,49.3%,Pets and Animals
31,marketplace.akc.org,Pets and Animals > Pets,3,00:03:19,3.82,52.54%,Pets and Animals
32,iheartdogs.com,Pets and Animals > Pets,11,00:01:03,1.75,55.6%,Pets and Animals
33,cpok.tw,Pets and Animals > Pets,5,00:01:33,1.32,80.93%,Pets and Animals
34,pet-home.jp,Pets and Animals > Pets,10,00:03:08,6.18,51.46%,Pets and Animals
35,catster.com,Pets and Animals > Pets,1,00:00:42,1.3,74.5%,Pets and Animals
36,pon-navi.net,Pets and Animals > Pets,7,00:05:02,3.54,54.75%,Pets and Animals
37,iding.tw,Pets and Animals > Pets,4,00:00:47,2.36,18.54%,Pets and Animals
38,dogster.com,Pets and Animals > Pets,8,00:00:41,1.3,71.53%,Pets and Animals
39,petmoniker.com,Pets and Animals > Pets,11,00:11:09,8.03,27.87%,Pets and Animals
40,tiendanimal.es,Pets and Animals > Pets,3,00:02:17,3.32,63.33%,Pets and Animals
41,myfahlo.com,Pets and Animals > Pets,12,00:02:40,3.44,49.23%,Pets and Animals
42,yomsubi.com,Pets and Animals > Pets,139,00:02:44,1.76,61.42%,Pets and Animals
43,sertanejotododia.com.br,Pets and Animals > Pets,423,00:00:05,1.31,70.23%,Pets and Animals
44,dierenbescherming.nl,Pets and Animals > Pets,2,00:02:50,4.03,49.72%,Pets and Animals
45,flirtingneighbors.com,Pets and Animals > Pets,9,00:08:17,8.58,28.54%,Pets and Animals
46,pawrade.com,Pets and Animals > Pets,22,00:02:34,4.41,49.65%,Pets and Animals
47,littlefries.com,Pets and Animals > Pets,=,00:01:20,5.68,56.54%,Pets and Animals
48,petango.com,Pets and Animals > Pets,8,00:03:13,3.65,38.75%,Pets and Animals
49,deutsches-gesundheits-journal.com,Pets and Animals > Pets,4,00:00:53,1.18,84.9%,Pets and Animals
50,besttoolsforai.com,Pets and Animals > Pets,8,00:01:18,1.74,66.27%,Pets and Animals
1,wikipedia.org,Reference Materials > Dictionaries and Encyclopedias,=,00:03:18,3.25,53.42%,Reference Materials
2,quora.com,Reference Materials > Dictionaries and Encyclopedias,=,00:01:47,2.15,45.12%,Reference Materials
3,deepl.com,Reference Materials > Dictionaries and Encyclopedias,=,00:10:02,9.93,25.43%,Reference Materials
4,perplexity.ai,Reference Materials > Dictionaries and Encyclopedias,=,00:06:29,4.25,31.69%,Reference Materials
5,sciencedirect.com,Reference Materials > Dictionaries and Encyclopedias,=,00:04:50,3.22,50.33%,Reference Materials
6,eksisozluk.com,Reference Materials > Dictionaries and Encyclopedias,=,00:04:23,5.62,37.49%,Reference Materials
7,merriam-webster.com,Reference Materials > Dictionaries and Encyclopedias,=,00:02:30,2.37,59.07%,Reference Materials
8,reverso.net,Reference Materials > Dictionaries and Encyclopedias,=,00:05:01,10.89,49.4%,Reference Materials
9,dictionary.cambridge.org,Reference Materials > Dictionaries and Encyclopedias,=,00:04:52,3.93,55.03%,Reference Materials
10,britannica.com,Reference Materials > Dictionaries and Encyclopedias,1,00:02:25,2.32,61.73%,Reference Materials
11,wiktionary.org,Reference Materials > Dictionaries and Encyclopedias,1,00:02:34,2.88,63.24%,Reference Materials
12,wordreference.com,Reference Materials > Dictionaries and Encyclopedias,=,00:05:59,3.83,46.36%,Reference Materials
13,word.tips,Reference Materials > Dictionaries and Encyclopedias,1,00:05:48,4.58,42.75%,Reference Materials
14,weblio.jp,Reference Materials > Dictionaries and Encyclopedias,1,00:02:55,2.42,58.1%,Reference Materials
15,thesaurus.com,Reference Materials > Dictionaries and Encyclopedias,=,00:03:52,2.94,44.34%,Reference Materials
16,urbandictionary.com,Reference Materials > Dictionaries and Encyclopedias,=,00:00:46,1.96,47.76%,Reference Materials
17,idos.cz,Reference Materials > Dictionaries and Encyclopedias,=,00:02:45,2.98,47.67%,Reference Materials
18,email.cz,Reference Materials > Dictionaries and Encyclopedias,=,00:04:45,3.25,49.74%,Reference Materials
19,gov.cz,Reference Materials > Dictionaries and Encyclopedias,=,00:04:31,5.52,37.4%,Reference Materials
20,dictionary.com,Reference Materials > Dictionaries and Encyclopedias,=,00:02:03,2.18,56.23%,Reference Materials
21,co.cz,Reference Materials > Dictionaries and Encyclopedias,21,00:04:31,3.66,36.96%,Reference Materials
22,treccani.it,Reference Materials > Dictionaries and Encyclopedias,1,00:01:32,1.67,64.17%,Reference Materials
23,dictionary.goo.ne.jp,Reference Materials > Dictionaries and Encyclopedias,1,00:02:09,2.32,70.96%,Reference Materials
24,pons.com,Reference Materials > Dictionaries and Encyclopedias,=,00:04:14,3.18,51.11%,Reference Materials
25,kotobank.jp,Reference Materials > Dictionaries and Encyclopedias,2,00:01:31,1.62,72.67%,Reference Materials
26,glosbe.com,Reference Materials > Dictionaries and Encyclopedias,1,00:03:35,2.57,63.01%,Reference Materials
27,wordhippo.com,Reference Materials > Dictionaries and Encyclopedias,=,00:03:06,2.52,59.24%,Reference Materials
28,collinsdictionary.com,Reference Materials > Dictionaries and Encyclopedias,2,00:01:59,2.2,60.55%,Reference Materials
29,wikisource.org,Reference Materials > Dictionaries and Encyclopedias,=,00:02:24,2.42,68.44%,Reference Materials
30,almaany.com,Reference Materials > Dictionaries and Encyclopedias,2,00:02:37,2.79,58.34%,Reference Materials
31,spanishdict.com,Reference Materials > Dictionaries and Encyclopedias,3,00:06:59,5.48,45.55%,Reference Materials
32,leo.org,Reference Materials > Dictionaries and Encyclopedias,1,00:06:20,4.21,36.1%,Reference Materials
33,bab.la,Reference Materials > Dictionaries and Encyclopedias,3,00:01:30,1.72,71.77%,Reference Materials
34,oxfordlearnersdictionaries.com,Reference Materials > Dictionaries and Encyclopedias,2,00:05:41,4.55,36.53%,Reference Materials
35,kartaslov.ru,Reference Materials > Dictionaries and Encyclopedias,3,00:02:09,2.18,60.36%,Reference Materials
36,imagetotext.info,Reference Materials > Dictionaries and Encyclopedias,3,00:02:27,2.12,65.62%,Reference Materials
37,alc.co.jp,Reference Materials > Dictionaries and Encyclopedias,5,00:05:27,3.83,45.37%,Reference Materials
38,larousse.fr,Reference Materials > Dictionaries and Encyclopedias,5,00:01:46,1.78,71.95%,Reference Materials
39,yourdictionary.com,Reference Materials > Dictionaries and Encyclopedias,2,00:05:08,3.58,53.41%,Reference Materials
40,scielo.br,Reference Materials > Dictionaries and Encyclopedias,6,00:03:03,2.1,67.94%,Reference Materials
41,dict.cc,Reference Materials > Dictionaries and Encyclopedias,1,00:06:04,3.67,35.84%,Reference Materials
42,rekhta.org,Reference Materials > Dictionaries and Encyclopedias,7,00:01:41,3.31,28.54%,Reference Materials
43,firmy.cz,Reference Materials > Dictionaries and Encyclopedias,2,00:02:09,2.28,59.5%,Reference Materials
44,tureng.com,Reference Materials > Dictionaries and Encyclopedias,1,00:05:32,3.85,43.42%,Reference Materials
45,dexonline.ro,Reference Materials > Dictionaries and Encyclopedias,1,00:02:14,2.28,38.51%,Reference Materials
46,1xlite-032472.top,Reference Materials > Dictionaries and Encyclopedias,=,00:02:34,2.14,60.97%,Reference Materials
47,rhymezone.com,Reference Materials > Dictionaries and Encyclopedias,=,00:06:05,4.08,42.28%,Reference Materials
48,shabdkosh.com,Reference Materials > Dictionaries and Encyclopedias,3,00:01:23,1.66,70.8%,Reference Materials
49,squaredle.app,Reference Materials > Dictionaries and Encyclopedias,3,00:09:52,3.39,42.07%,Reference Materials
50,thefreedictionary.com,Reference Materials > Dictionaries and Encyclopedias,1,00:02:28,2.89,57.63%,Reference Materials
1,maps.google.com,Reference Materials > Maps,=,00:00:23,1.19,59.92%,Reference Materials
2,map.naver.com,Reference Materials > Maps,=,00:06:45,25.82,11.14%,Reference Materials
3,2gis.ru,Reference Materials > Maps,=,00:03:43,8.9,36.25%,Reference Materials
4,meteofrance.com,Reference Materials > Maps,=,00:01:08,1.68,48.59%,Reference Materials
5,meteofor.com.ua,Reference Materials > Maps,1,00:02:21,2.27,48.91%,Reference Materials
6,map.baidu.com,Reference Materials > Maps,1,00:06:46,58.04,9.49%,Reference Materials
7,map.kakao.com,Reference Materials > Maps,1,00:03:06,3.25,49.96%,Reference Materials
8,map.yahoo.co.jp,Reference Materials > Maps,1,00:03:24,5.61,31.72%,Reference Materials
9,mapquest.com,Reference Materials > Maps,=,00:01:34,2.38,60.75%,Reference Materials
10,lachainemeteo.com,Reference Materials > Maps,=,00:02:19,2.29,44.16%,Reference Materials
11,geoguessr.com,Reference Materials > Maps,1,00:12:24,8.08,22.67%,Reference Materials
12,mapy.cz,Reference Materials > Maps,1,00:06:59,21.44,17.5%,Reference Materials
13,ekitan.com,Reference Materials > Maps,2,00:03:23,3.61,46.71%,Reference Materials
14,economia.uol.com.br,Reference Materials > Maps,3,00:03:53,2.71,70.35%,Reference Materials
15,otoadom.com,Reference Materials > Maps,1,00:02:12,2.63,17.37%,Reference Materials
16,larkoffice.com,Reference Materials > Maps,1,00:19:48,9.47,23.38%,Reference Materials
17,marinetraffic.com,Reference Materials > Maps,1,00:04:12,8.93,34.76%,Reference Materials
18,mappy.com,Reference Materials > Maps,1,00:02:24,5.5,32.58%,Reference Materials
19,mapion.co.jp,Reference Materials > Maps,1,00:02:07,3.56,60.2%,Reference Materials
20,maps.arcgis.com,Reference Materials > Maps,2,00:03:50,4.26,57.16%,Reference Materials
21,amap.com,Reference Materials > Maps,=,00:04:55,5.54,32.14%,Reference Materials
22,worldatlas.com,Reference Materials > Maps,=,00:00:50,1.58,56.79%,Reference Materials
23,openstreetmap.org,Reference Materials > Maps,=,00:03:38,20.42,40.36%,Reference Materials
24,kudikina.ru,Reference Materials > Maps,3,00:02:09,2.38,42.87%,Reference Materials
25,mapfan.com,Reference Materials > Maps,1,00:02:35,7.71,56.98%,Reference Materials
26,fsolver.fr,Reference Materials > Maps,1,00:09:22,5.36,37.51%,Reference Materials
27,poznatsvet.cz,Reference Materials > Maps,3,00:01:16,1.51,72.64%,Reference Materials
28,weedmaps.com,Reference Materials > Maps,=,00:03:52,5.13,53.38%,Reference Materials
29,viamichelin.fr,Reference Materials > Maps,1,00:03:41,5.01,22.21%,Reference Materials
30,driveplaza.com,Reference Materials > Maps,3,00:02:58,3.03,52.37%,Reference Materials
31,onefivenine.com,Reference Materials > Maps,6,00:01:47,1.6,68.7%,Reference Materials
32,gsi.go.jp,Reference Materials > Maps,=,00:05:29,11.92,34.15%,Reference Materials
33,city-data.com,Reference Materials > Maps,4,00:03:42,3.67,53.17%,Reference Materials
34,mapsofindia.com,Reference Materials > Maps,4,00:01:05,1.91,69.9%,Reference Materials
35,24timezones.com,Reference Materials > Maps,4,00:00:50,2.1,60.43%,Reference Materials
36,jakdojade.pl,Reference Materials > Maps,1,00:03:14,2.88,22.48%,Reference Materials
37,toolbaz.com,Reference Materials > Maps,3,00:06:21,3.75,48.5%,Reference Materials
38,tuttocitta.it,Reference Materials > Maps,1,00:01:42,5.42,52.17%,Reference Materials
39,nocle.fr,Reference Materials > Maps,3,00:01:25,1.27,86.77%,Reference Materials
40,e-map.ne.jp,Reference Materials > Maps,3,00:01:58,3.32,46.52%,Reference Materials
41,flypobeda.ru,Reference Materials > Maps,1,00:04:21,4.43,39.82%,Reference Materials
42,wikimapia.org,Reference Materials > Maps,5,00:02:44,13.61,56.21%,Reference Materials
43,kelio.io,Reference Materials > Maps,3,00:03:51,3.64,21.43%,Reference Materials
44,targeo.pl,Reference Materials > Maps,=,00:02:31,3.72,54.34%,Reference Materials
45,chipstime.fr,Reference Materials > Maps,4,00:01:14,1.92,76.68%,Reference Materials
46,mapcarta.com,Reference Materials > Maps,2,00:01:17,2.21,50.24%,Reference Materials
47,herohero.co,Reference Materials > Maps,2,00:04:15,2.68,56.36%,Reference Materials
48,maps.google.co.jp,Reference Materials > Maps,3,00:02:04,2.42,81.23%,Reference Materials
49,callejero.net,Reference Materials > Maps,1,00:00:49,1.4,66.77%,Reference Materials
50,webcamtaxi.com,Reference Materials > Maps,5,00:02:23,4.25,45.09%,Reference Materials
1,yelp.com,Reference Materials > Public Records and Directories,=,00:02:22,4.8,49.92%,Reference Materials
2,whitepages.com,Reference Materials > Public Records and Directories,=,00:02:36,3.93,43.26%,Reference Materials
3,fastpeoplesearch.com,Reference Materials > Public Records and Directories,=,00:04:19,5.13,36.43%,Reference Materials
4,truepeoplesearch.com,Reference Materials > Public Records and Directories,=,00:05:31,5.83,39.24%,Reference Materials
5,beenverified.com,Reference Materials > Public Records and Directories,1,00:03:12,3.54,49.98%,Reference Materials
6,hitta.se,Reference Materials > Public Records and Directories,1,00:02:03,5.07,41.04%,Reference Materials
7,meinestadt.de,Reference Materials > Public Records and Directories,=,00:02:38,2.73,47.56%,Reference Materials
8,paginegialle.it,Reference Materials > Public Records and Directories,=,00:01:19,2.13,52.77%,Reference Materials
9,clever-tanken.de,Reference Materials > Public Records and Directories,=,00:03:05,2.73,54.26%,Reference Materials
10,yellowpages.com,Reference Materials > Public Records and Directories,=,00:01:46,2.65,57.06%,Reference Materials
11,dasoertliche.de,Reference Materials > Public Records and Directories,=,00:01:27,2.26,55.63%,Reference Materials
12,intelius.com,Reference Materials > Public Records and Directories,5,00:02:34,3.59,42.67%,Reference Materials
13,dastelefonbuch.de,Reference Materials > Public Records and Directories,=,00:01:30,2.52,57.94%,Reference Materials
14,yelp.ca,Reference Materials > Public Records and Directories,=,00:01:42,3.05,52.39%,Reference Materials
15,schulferien.org,Reference Materials > Public Records and Directories,3,00:01:12,1.55,73.98%,Reference Materials
16,jsprav.ru,Reference Materials > Public Records and Directories,2,00:00:56,1.87,48.4%,Reference Materials
17,forebears.io,Reference Materials > Public Records and Directories,2,00:01:55,3.07,57.74%,Reference Materials
18,spravker.ru,Reference Materials > Public Records and Directories,4,00:00:38,1.67,44.36%,Reference Materials
19,paginebianche.it,Reference Materials > Public Records and Directories,4,00:01:21,2.4,53.3%,Reference Materials
20,nn.de,Reference Materials > Public Records and Directories,1,00:02:23,2.45,53.12%,Reference Materials
21,krak.dk,Reference Materials > Public Records and Directories,1,00:02:26,8.0,43.48%,Reference Materials
22,ich-tanke.de,Reference Materials > Public Records and Directories,6,00:02:05,1.73,68.12%,Reference Materials
23,192.com,Reference Materials > Public Records and Directories,1,00:01:34,3.6,47.81%,Reference Materials
24,fastbackgroundcheck.com,Reference Materials > Public Records and Directories,5,00:03:41,4.57,39.25%,Reference Materials
25,oraridiapertura24.it,Reference Materials > Public Records and Directories,=,00:01:00,1.55,68.6%,Reference Materials
26,searchpeoplefree.com,Reference Materials > Public Records and Directories,=,00:05:04,5.66,37.84%,Reference Materials
27,local.ch,Reference Materials > Public Records and Directories,4,00:03:50,2.46,47.56%,Reference Materials
28,yell.com,Reference Materials > Public Records and Directories,=,00:02:59,2.51,53.12%,Reference Materials
29,yellowpages.ca,Reference Materials > Public Records and Directories,2,00:01:01,1.64,63.84%,Reference Materials
30,veripages.com,Reference Materials > Public Records and Directories,16,00:00:55,2.75,52.96%,Reference Materials
31,gelbeseiten.de,Reference Materials > Public Records and Directories,1,00:01:07,1.77,74.81%,Reference Materials
32,canada411.ca,Reference Materials > Public Records and Directories,3,00:03:00,4.02,42.89%,Reference Materials
33,meteomedia.de,Reference Materials > Public Records and Directories,1,00:01:15,1.36,78.69%,Reference Materials
34,yellowpages.com.eg,Reference Materials > Public Records and Directories,2,00:01:22,1.83,51.13%,Reference Materials
35,chamberofcommerce.com,Reference Materials > Public Records and Directories,4,00:00:49,1.36,69.09%,Reference Materials
36,yell.ru,Reference Materials > Public Records and Directories,3,00:01:03,2.0,55.15%,Reference Materials
37,411.com,Reference Materials > Public Records and Directories,3,00:01:44,2.63,47.85%,Reference Materials
38,heizoel24.de,Reference Materials > Public Records and Directories,2,00:00:47,1.95,63.65%,Reference Materials
39,novayagazeta.eu,Reference Materials > Public Records and Directories,1,00:02:12,1.76,63.56%,Reference Materials
40,11880.com,Reference Materials > Public Records and Directories,3,00:01:13,1.85,64.77%,Reference Materials
41,orgpage.ru,Reference Materials > Public Records and Directories,3,00:00:46,1.71,48.15%,Reference Materials
42,innn.it,Reference Materials > Public Records and Directories,27,00:01:41,2.06,55.3%,Reference Materials
43,golocal.de,Reference Materials > Public Records and Directories,1,00:00:22,1.39,77.05%,Reference Materials
44,wetter.at,Reference Materials > Public Records and Directories,6,00:00:21,1.49,42.87%,Reference Materials
45,cylex.de,Reference Materials > Public Records and Directories,4,00:00:51,1.67,68.36%,Reference Materials
46,paginasamarillas.es,Reference Materials > Public Records and Directories,1,00:01:23,1.76,71.45%,Reference Materials
47,astralcodexten.com,Reference Materials > Public Records and Directories,4,00:04:45,2.67,43.56%,Reference Materials
48,unmask.com,Reference Materials > Public Records and Directories,3,00:01:04,2.27,48.13%,Reference Materials
49,werkenntdenbesten.de,Reference Materials > Public Records and Directories,1,00:02:29,2.58,50.92%,Reference Materials
50,yellowbook.com,Reference Materials > Public Records and Directories,3,00:00:57,2.37,58.67%,Reference Materials
1,wikimedia.org,Reference Materials > Reference Materials - Other,=,00:01:54,3.09,61.56%,Reference Materials
2,wikihow.com,Reference Materials > Reference Materials - Other,=,00:01:06,1.53,65.43%,Reference Materials
